,id,sum,group
340,Merritt Mauzey,1,2
341,Michael France,1,2
342,Michael Rekucki,1,2
343,Michel Anguier,1,2
344,Michel Lasne,1,2
345,Morton Mathews,1,2
346,Michel-Victor Dassier,1,2
347,Mortimer Menpes,1,2
348,Moritz Steinla,1,2
349,Monsieur Scarron,1,2
350,Milton Bevier,1,2
351,Miriam Y. Solomon,1,2
352,Mme.  de Monchy,1,2
353,Michael Burghers,1,2
354,Lillian Hunter,1,2
355,Master with the Crossed Clubs,1,2
356,Master of the Stoeger Passion,1,2
357,Maso Finiguerra,1,2
358,Master BM,1,2
359,Master C,1,2
360,Nicolas Bertin,1,2
361,Master HFE,1,2
362,Master HVE,1,2
363,Master I.D.,1,2
364,Master I.I.CA,1,2
365,Master IRs,1,2
366,Master IS,1,2
367,Master L,1,2
368,Master LCz,1,2
369,Master of the Victoria and Albert Diableries,1,2
370,Nicolaes de Bruyn,1,2
371,Nicolaes Pietersz Berchem,1,2
372,Master W with the Key,1,2
373,Master WH,1,2
374,Master d,1,2
375,Master hw,1,2
376,Master of St. Wolfgang,1,2
377,Nicolaes Maes,1,2
378,Master of the Boccaccio Illustrations,1,2
379,Master of the David and Saint John Statuettes,1,2
380,Nal Bal Dian,1,2
381,Master of the Martyrdom of the Ten Thousand,1,2
382,Master of the Playing Cards,1,2
383,Master NW,1,2
384,Paul-Ulric Du Buisson,1,2
385,Paulus Lesire,1,2
386,Leonard Pytlak,1,2
387,Jean-Pierre-Marie Jazet,1,2
388,Jeremias Wolff,1,2
389,Jerome Franken,1,2
390,Jessie Trueworthy,1,2
391,Jodocus Bickart,1,2
392,Jodocus Hondius I,1,2
393,Johan Dircksz van Nes,1,2
394,Johan Wierix,1,2
395,Johann Carl Munck,1,2
396,Johann Daniel Herz the Elder,1,2
397,Johann Eleazar Schenau,1,2
398,Johann Georg Wille,1,2
399,Jean-Martial Fredou,1,2
400,Johann Jacobé,1,2
401,Pierre Duflos,1,2
402,Johann Martin Bernigeroth,1,2
403,Johann Meyrl,1,2
404,Johann Reinhold Schildknecht,1,2
405,Johann Sibmacher,1,2
406,Johannes Cornelisz Verspronck,1,2
407,John Boydell,1,2
408,John Buckland Wright,1,2
409,John Chapman,1,2
410,John Cutting,1,2
411,John Dill,1,2
412,John Faber II,1,2
413,Johann Liss,1,2
414,John Flaxman,1,2
415,Jean-Joseph Vade,1,2
416,Jean-Jacques de Boissieu,1,2
417,Jean Michel Papillon I,1,2
418,Jean Michelin,1,2
419,Jean Moyreau,1,2
420,Jean Nocret,1,2
421,Jean Puget de La Serre,1,2
422,Jean Rabel,1,2
423,Pierre-Francois Berruer,1,2
424,Jean de Dieu,1,2
425,Jean de Gourmont I,1,2
426,Pierre-Etienne Falconet,1,2
427,Jean-Augustin Léveillé,1,2
428,Pierre-Charles Ingouf,1,2
429,Jean-Joseph Bernard called Bernard de Paris,1,2
430,Jean-Baptiste Chapuy,1,2
431,Pierre-Antoine-Augustin-Chevalier de Piis,1,2
432,Jean-Baptiste Isabey,1,2
433,Jean-Baptiste Tilliard,1,2
434,Jean-Baptiste de Lorraine,1,2
435,Jean-Baptiste-André Gautier-Dagoty,1,2
436,Pierre Philippe,1,2
437,Pierre Paul Prud'hon,1,2
438,"Jean-Claude-Richard, Abbé de Saint-Non",1,2
439,Jean-Francois de La Harpe,1,2
440,Jean-François Garnerey,1,2
441,Pierre Larrieu,1,2
442,Jean-Jacques Hubert,1,2
443,Jean-Baptiste Delafosse,1,2
444,Etienne Aubry,1,2
445,John Francis Murphy,1,2
446,John Garay,1,2
447,Julien Antoine Peulot,1,2
448,Julius Mihalik,1,2
449,Jusepe de Ribera,1,2
450,Peter Maler,1,2
451,Karel van Mallery,1,2
452,Peter Maes,1,2
453,Karl Albiker,1,2
454,Karl Hofer,1,2
455,Karl Schmidt-Rottluff,1,2
456,Kenneth Holmes,1,2
457,L.C. de Mormantelle,1,2
458,Perkins Harnly,1,2
459,Julia Boyd,1,2
460,Laurent Dufour,1,2
461,Lawrence Daws,1,2
