,target,source,value
2860,Ailsa Mellon Bruce Fund,Otto Weber,3
2472,Ailsa Mellon Bruce Fund,Odilon Redon,2
2458,Ailsa Mellon Bruce Fund,Bartolomé Esteban Murillo,1
2475,Ailsa Mellon Bruce Fund,Sir Joshua Reynolds,2
3521,Ailsa Mellon Bruce Fund,François Langlois,13
3902,Ailsa Mellon Bruce Fund,Pierre Biard the Younger,1
3183,Ailsa Mellon Bruce Fund,Max Oppenheimer,6
3858,Ailsa Mellon Bruce Fund,Mosè Bianchi,6
2563,Ailsa Mellon Bruce Fund,Egid Quirin Asam,1
2894,Ailsa Mellon Bruce Fund,Schelte Adams Bolswert,24
2638,Ailsa Mellon Bruce Fund,F. L. Griggs,3
3462,Ailsa Mellon Bruce Fund,Richard Artschwager,24
3910,Ailsa Mellon Bruce Fund,Januarius Zick,1
3000,Ailsa Mellon Bruce Fund,François-Nicolas Auguste Feyen-Perrin,6
3911,Ailsa Mellon Bruce Fund,Atelier 17,1
3729,Ailsa Mellon Bruce Fund,Stanislaus Graf von Kalckreuth,23
2484,Ailsa Mellon Bruce Fund,Théodore Rousseau,1
2565,Ailsa Mellon Bruce Fund,Giacomo Balla,1
2483,Ailsa Mellon Bruce Fund,Georges Rouget,1
2862,Ailsa Mellon Bruce Fund,"Hans Weiditz, II",3
2480,Ailsa Mellon Bruce Fund,George Romney,1
2479,Ailsa Mellon Bruce Fund,Ercole de' Roberti,1
3038,Ailsa Mellon Bruce Fund,Giovanni Francesco Grimaldi,2
2878,Ailsa Mellon Bruce Fund,Jack Beal,1
3891,Ailsa Mellon Bruce Fund,Alessandro Moretti,1
3889,Ailsa Mellon Bruce Fund,Joseph Bauman,1
2872,Ailsa Mellon Bruce Fund,Anton Maria Zanetti I,3
3095,Ailsa Mellon Bruce Fund,Sébastien Le Clerc I,13
2708,Ailsa Mellon Bruce Fund,Gabriel de Saint-Aubin,1
2869,Ailsa Mellon Bruce Fund,Philips Wouwerman,1
2507,Ailsa Mellon Bruce Fund,Félix Vallotton,13
3600,Ailsa Mellon Bruce Fund,Julius Schnorr von Carolsfeld,1
3597,Ailsa Mellon Bruce Fund,Master J.N.,1
3592,Ailsa Mellon Bruce Fund,Jacob Wilhelm Mechau,1
2688,Ailsa Mellon Bruce Fund,Parmigianino,30
3616,Ailsa Mellon Bruce Fund,Noël Cochin,1
3591,Ailsa Mellon Bruce Fund,Albert Christoph Dies,1
3589,Ailsa Mellon Bruce Fund,Vicente Salvador Gómez,1
3588,Ailsa Mellon Bruce Fund,Rosa Bonheur,1
2395,Ailsa Mellon Bruce Fund,Jacques-Louis David,2
3585,Ailsa Mellon Bruce Fund,Robert Bigelow,1
3584,Ailsa Mellon Bruce Fund,James Webb,1
3601,Ailsa Mellon Bruce Fund,Giovanni Boldini,1
3580,Ailsa Mellon Bruce Fund,Thomas Morris,1
3577,Ailsa Mellon Bruce Fund,Friedrich Wilhelm Moritz,1
3615,Ailsa Mellon Bruce Fund,Giovanni da Udine,1
3622,Ailsa Mellon Bruce Fund,Flora Itwin Schofield,1
3657,Ailsa Mellon Bruce Fund,Hendrik van der Straaten,1
3641,Ailsa Mellon Bruce Fund,Paul Maupin,1
3655,Ailsa Mellon Bruce Fund,Jeremias Wachsmuth,1
3652,Ailsa Mellon Bruce Fund,Peter Rittig,1
3651,Ailsa Mellon Bruce Fund,Carlo Marchionni,1
3957,Ailsa Mellon Bruce Fund,Master CR,1
3650,Ailsa Mellon Bruce Fund,Jan Cornelisz Vermeyen,1
3649,Ailsa Mellon Bruce Fund,Agostino Ciampelli,1
3647,Ailsa Mellon Bruce Fund,Master AP,1
3578,Ailsa Mellon Bruce Fund,Cuno Amiet,1
3603,Ailsa Mellon Bruce Fund,Wyndham Lewis,1
3945,Ailsa Mellon Bruce Fund,Telemaco Signorini,1
3606,Ailsa Mellon Bruce Fund,J.-R. Lucotte,1
3721,Ailsa Mellon Bruce Fund,Jean Antoine Linck,1
3720,Ailsa Mellon Bruce Fund,Philibert d'Amiens de Ranchicourt,1
3719,Ailsa Mellon Bruce Fund,Andries van Eertvelt,1
3717,Ailsa Mellon Bruce Fund,Johann Conrad Steiner,1
3716,Ailsa Mellon Bruce Fund,Heinrich Tischler,1
3715,Ailsa Mellon Bruce Fund,Etienne Baudet,1
3712,Ailsa Mellon Bruce Fund,Arminius Hasemann,1
3954,Ailsa Mellon Bruce Fund,E. Tommasi,1
3700,Ailsa Mellon Bruce Fund,Édouard Traviès,1
3711,Ailsa Mellon Bruce Fund,Philip Fruytiers,1
3709,Ailsa Mellon Bruce Fund,Nicola Malinconico,1
3707,Ailsa Mellon Bruce Fund,Anton Hallmann,1
3706,Ailsa Mellon Bruce Fund,Julius Albert Elsasser,1
3955,Ailsa Mellon Bruce Fund,Giuseppe Cornienti,1
3705,Ailsa Mellon Bruce Fund,Helias van den Bossche,1
3704,Ailsa Mellon Bruce Fund,Alphonse Nicolas-Michel Mandevare,1
3934,Ailsa Mellon Bruce Fund,Claudine Bouzonnet-Stella,3
3703,Ailsa Mellon Bruce Fund,Johann Willinges,1
3702,Ailsa Mellon Bruce Fund,Charles Mellin,1
3662,Ailsa Mellon Bruce Fund,Johann Justin Preissler,1
3658,Ailsa Mellon Bruce Fund,Melchior Lechter,1
